"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
8,"1","2025-10-01T06:12:38.631663Z",103,"/data/upload/3/c5ac42b1-img001.jpg","[{""x"":26.779863453685614,""y"":52.095808383233525,""width"":26.779863453685614,""height"":11.377245508982035,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1484,""original_height"":3264}]",77.79500000000002,"2025-10-01T10:34:39.681210Z"
9,"1","2025-10-01T06:14:06.327602Z",109,"/data/upload/3/4634ed1c-img007.jpg","[{""x"":12.044198895027625,""y"":68.95786403623171,""width"":4.861878453038672,""height"":11.169231498826264,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":4096,""original_height"":1864},{""x"":47.40331491712707,""y"":63.61605766722784,""width"":3.75690607734807,""height"":8.741137694733602,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":4096,""original_height"":1864},{""x"":66.62983425414365,""y"":32.53645697484172,""width"":4.8618784530386705,""height"":9.712375216370667,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":4096,""original_height"":1864}]",61.478,"2025-10-01T06:14:06.327602Z"
10,"1","2025-10-01T06:14:52.561287Z",110,"/data/upload/3/05d882af-img008.jpg","[{""x"":12.154696132596685,""y"":68.47224527541317,""width"":4.640883977900552,""height"":12.140469020463343,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":4096,""original_height"":1864},{""x"":47.6243093922652,""y"":63.13043890640932,""width"":3.535911602209943,""height"":8.498328314324333,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":4096,""original_height"":1864},{""x"":66.62983425414365,""y"":32.77926635525099,""width"":4.8618784530386705,""height"":9.469565835961397,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":4096,""original_height"":1864}]",26.962,"2025-10-01T06:14:52.561287Z"
11,"1","2025-10-01T06:15:23.188958Z",111,"/data/upload/3/8cf242bc-img009.jpg","[{""x"":12.281017364412804,""y"":29.740518962075846,""width"":9.210763023309603,""height"":4.391217564870267,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":63.159517874123,""y"":29.141716566866265,""width"":11.84240960139806,""height"":5.588822355289423,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":19.73734933566344,""y"":56.287425149700596,""width"":11.403801838383316,""height"":4.191616766467071,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":69.73863431934414,""y"":58.08383233532935,""width"":12.281017364412804,""height"":4.790419161676638,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096}]",28.715,"2025-10-01T06:15:23.188958Z"
12,"1","2025-10-01T06:15:53.970529Z",112,"/data/upload/3/00e0cbef-img010.jpg","[{""x"":10.526586312353833,""y"":29.94011976047904,""width"":12.281017364412806,""height"":4.59081836327346,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":63.159517874123,""y"":29.141716566866265,""width"":11.84240960139806,""height"":5.389221556886234,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":21.491780387722407,""y"":56.287425149700596,""width"":9.649370786324347,""height"":4.590818363273456,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":70.61584984537363,""y"":58.08383233532935,""width"":11.403801838383316,""height"":4.590818363273449,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096}]",29.022,"2025-10-01T06:15:53.970529Z"
13,"1","2025-10-01T06:16:21.564848Z",113,"/data/upload/3/9b6910fc-img011.jpg","[{""x"":63.598125637137734,""y"":35.728542914171655,""width"":15.789879468530764,""height"":7.185628742514972,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":26.316465780884585,""y"":53.49301397205589,""width"":13.59684065345703,""height"":5.189620758483031,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":74.12471194949157,""y"":53.49301397205589,""width"":14.912663942501268,""height"":6.786427145708586,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096}]",22.931,"2025-10-01T06:16:21.564848Z"
14,"1","2025-10-01T06:17:59.958680Z",114,"/data/upload/3/916dec2e-img012.jpg","[{""x"":24.123426965810868,""y"":25.349301397205586,""width"":9.210763023309607,""height"":4.590818363273453,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":49.12406945765122,""y"":22.55489021956088,""width"":10.087978549339098,""height"":4.191616766467067,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":13.59684065345704,""y"":57.28542914171657,""width"":10.526586312353832,""height"":4.590818363273464,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":65.89064250155504,""y"":44.30931950531913,""width"":13.158232890442289,""height"":4.990019960079893,""rotation"":47.92497794915613,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":64.91394892618197,""y"":71.45708582834331,""width"":9.64937078632434,""height"":3.193612774451097,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096}]",96.266,"2025-10-01T06:17:59.958680Z"
15,"1","2025-10-01T06:18:22.992125Z",115,"/data/upload/3/0a2e4e93-img013.jpg","[{""x"":61.40508682206403,""y"":48.30339321357285,""width"":14.03544841647178,""height"":5.389221556886227,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096}]",20.003,"2025-10-01T06:18:22.992125Z"
16,"1","2025-10-01T06:19:03.318337Z",116,"/data/upload/3/e6f992d9-img014.jpg","[{""x"":43.8607763014743,""y"":10.978043912175648,""width"":15.351271705516012,""height"":5.588822355289421,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":41.66773748640059,""y"":25.948103792415168,""width"":13.596840653457036,""height"":6.58682634730539,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":43.8607763014743,""y"":41.31736526946108,""width"":15.789879468530756,""height"":6.187624750499005,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":44.73799182750379,""y"":55.88822355289421,""width"":14.03544841647178,""height"":5.988023952095816,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":45.176599590518535,""y"":72.0558882235529,""width"":14.912663942501261,""height"":6.187624750498998,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096}]",38.195,"2025-10-01T06:19:03.318337Z"
17,"1","2025-10-01T06:19:50.433320Z",118,"/data/upload/3/0ffd58f2-img016.jpg","[{""x"":75.87914300155055,""y"":25.349301397205586,""width"":12.281017364412804,""height"":5.189620758483038,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":78.94939734265375,""y"":58.28343313373253,""width"":13.596840653457022,""height"":4.990019960079842,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096},{""x"":82.01965168375695,""y"":69.46107784431138,""width"":10.526586312353828,""height"":5.189620758483031,""rotation"":0,""rectanglelabels"":[""qrcode""],""original_width"":1864,""original_height"":4096}]",41.761,"2025-10-01T06:19:50.433320Z"
